booking_id	people	purpose	gender	is_required_prepay_satisfied	cancel_change	DOW
748	2	____	M	1	1	6
749	2	____	F	1	0	3
750	6	____	F	1	1	1
757	2	____	F	1	0	5
765	4	____	M	1	1	7
767	2	____	M	1	0	6
772	8	____	F	1	0	3
780	5	____	F	1	0	1
786	6	____	M	1	0	1
788	2	_____	M	1	0	4
792	8	____	M	1	0	5
798	3	____	F	1	0	1
801	4	____	M	1	1	2
810	4	____	M	1	0	2
812	2	____	F	1	0	1
813	2	____	F	1	1	5
821	2	____	M	1	1	4
822	8	____	F	1	0	5
825	2	____	F	1	0	4
827	4	____	F	1	0	7
828	4		F	1	0	3
833	6	____	F	1	0	7
838	8	____	F	1	0	7
840	1	____	F	1	1	5
842	2	____	M	1	0	7
844	4	____	F	1	0	7
855	2	____	F	1	1	5
856	2	____	F	1	1	3
864	6	____	F	1	1	7
870	2	____	M	1	1	7
877	2	____	M	1	0	7
887	2	____	F	1	0	7
889	4	____	F	1	0	1
901	9	____	M	1	0	4
903	8	____	F	1	0	6
909	2	____	M	1	0	6
925	5	____	F	1	0	7
952	2	____	M	1	1	4
955	4	____	F	1	0	6
960	2	____	F	1	1	4
963	2	____	M	1	0	3
967	3	____	M	1	1	7
969	2		F	1	0	2
970	6	____	F	1	0	6
978	5	____	F	1	0	7
980	2	____	M	1	1	7
985	8	____	F	1	0	6
986	12	____	F	1	0	5
1001	2	____	F	1	0	2
1008	2	____	F	1	0	6
1013	2	____	M	1	0	6
1032	6	____	M	1	0	1
1035	4		F	1	0	3
1041	3	____	M	1	0	2
1044	2	_____	M	1	0	6
1047	5	____	F	1	0	4
1050	2	____	M	1	1	5
1056	2	_____	M	1	0	6
1061	5		M	1	0	7
1062	8	____	F	1	0	7
1070	5	____	F	1	0	6
1086	2	____	M	1	0	3
1087	2	____	M	1	0	1
1088	3	____	F	1	0	2
1089	3	____	F	1	1	2
1091	4	____	F	1	0	4
1113	4	____	F	1	0	6
1115	2	____	M	1	0	6
1116	3	____	M	1	0	1
1137	2	____	M	1	0	2
1142	4	____	M	1	0	2
1145	2	____	F	1	0	7
1147	6	____	F	1	0	7
1148	6	____	F	1	0	1
1156	3	____	F	1	0	1
1161	2	_____	M	1	0	4
1166	3	____	F	1	0	7
1167	4	____	M	1	0	7
1169	2	____	M	1	0	2
1173	8	____	M	1	1	7
1179	4	____	F	1	0	2
1182	3	____	M	1	0	7
1192	6	____	M	1	0	5
1193	5	____	M	1	0	4
1198	19	____	M	1	1	1
1202	2	____	M	1	0	4
1210	3	____	F	1	0	2
1212	2	____	F	1	0	6
1219	2	____	M	1	0	3
1222	4	____	M	1	0	1
1229	13		M	1	0	7
1230	2	____	F	1	1	7
1232	3		F	1	1	3
1235	8	____	F	1	1	1
1237	3		M	1	0	2
1239	2	____	M	1	0	2
1250	2	____	M	1	0	3
1254	2	____	F	1	0	6
1255	5	____	F	1	0	6
1256	4	____	M	1	0	7
1257	2	____	F	1	0	2
1261	3	____	F	1	0	4
1267	10	____	F	1	1	1
1272	2	____	F	1	0	5
1283	4	____	F	1	0	1
1286	4		F	1	0	1
1287	2		F	1	0	6
1288	2		M	1	0	1
1289	2	____	M	1	0	3
1290	5	____	F	1	0	4
1292	2	____	F	1	0	7
1294	5	____	M	1	0	4
1295	6	____	M	1	0	5
1299	3	____	F	1	0	5
1324	3	____	F	1	0	7
1354	2		F	1	1	5
1356	2	_____	M	1	0	1
1360	2	____	M	1	0	3
1368	10	____	M	1	0	3
1375	4	____	M	1	1	7
1376	16	____	F	1	0	1
1385	2	____	F	1	0	2
1386	3	____	F	1	0	7
1388	5	____	M	1	0	7
1389	4	____	F	1	0	5
1394	2	____	M	1	0	1
1397	4	____	M	1	1	2
1403	2	____	F	1	1	5
1405	6	____	M	1	0	4
1406	6	____	F	1	0	7
1414	1	____	M	1	0	3
1419	2	____	F	1	0	6
1420	4	____	F	1	0	7
1426	4	____	F	1	0	7
1434	6	____	F	1	1	1
1437	2	____	F	1	0	7
1441	4	____	M	1	0	4
1452	2	____	F	1	0	4
1453	5	____	M	1	0	1
1456	2	_____	M	1	0	1
1460	3	____	M	1	0	2
1463	2	____	M	1	0	6
1467	5	____	F	1	0	7
1483	4	____	M	1	1	7
1487	5	____	M	1	0	1
1504	2	____	F	1	0	1
1508	2	_____	M	1	0	5
1511	7	____	F	1	0	4
1512	3	____	F	1	0	4
1514	15	____	F	1	0	1
1516	2		F	1	1	7
1534	5	____	M	1	1	5
1546	5	____	F	1	0	6
1549	2	____	F	1	1	2
1550	5	____	M	1	0	7
1553	4	____	F	1	0	6
1557	4	____	F	1	0	5
1561	3	____	M	1	0	5
1564	2	_____	M	1	0	4
1569	4	____	F	1	0	7
1572	9	____	F	1	0	3
1576	4	____	M	1	1	1
1580	2	____	F	1	0	5
1583	2	____	F	1	0	4
1591	4	____	M	1	0	4
1608	8	____	F	1	0	2
1646	4	____	F	1	0	4
1650	2	____	M	1	0	1
1658	2	____	M	1	1	7
1667	7	____	F	1	0	1
1672	2	____	F	1	0	7
1673	2	_____	F	1	1	1
1676	4	____	M	1	0	7
1681	3	____	F	1	0	2
1688	2	____	M	1	0	4
1691	8		F	1	0	2
1696	4	____	F	1	0	2
1705	27	____	M	1	0	6
1717	7	____	F	1	0	1
1720	5	____	F	1	0	4
1722	2	____	F	1	0	5
1738	4	____	M	1	0	1
1739	2	____	F	1	0	5
1740	2	____	M	1	1	6
1745	2	____	F	1	1	2
1746	2	____	M	1	0	3
1752	2	____	F	1	1	1
1755	10	____	F	1	1	7
1762	2	____	F	1	0	2
1764	4	____	M	1	0	1
1773	6	____	M	1	1	5
1786	2	____	F	1	0	4
1793	2	____	F	1	0	3
1800	4	____	F	1	0	6
1802	4	____	F	1	0	7
1826	4	____	F	1	0	1
1828	4	____	M	1	0	4
1829	2	____	F	1	0	1
1836	9	____	M	1	0	2
1842	2	____	M	1	0	7
1846	2	____	M	1	0	1
1852	2	____	F	1	1	1
1857	12	____	F	1	0	7
1875	4	____	M	1	0	7
1878	2	____	F	1	0	1
1914	4	____	M	1	0	5
1916	9	____	M	1	0	1
1931	2	____	F	1	0	6
1936	2	____	M	1	0	7
1938	17	____	M	1	0	1
1947	5	____	F	1	0	7
1948	4	____	F	1	0	6
1956	6	____	M	1	0	1
1959	4	____	F	1	0	4
1968	2	____	F	1	0	1
1971	2	____	F	1	1	4
1974	3	____	F	1	0	4
1986	4		F	1	1	4
1998	2	____	M	1	0	7
2000	2	____	M	1	1	4
2001	4		M	1	0	7
2011	2		M	1	0	6
2014	5	____	M	1	0	1
2032	3	____	M	1	0	7
2045	4	____	F	1	1	3
2047	4	____	M	1	0	1
2058	3	____	M	1	0	7
2060	2	____	M	1	0	7
2061	5	____	F	1	0	7
2073	2	____	M	1	0	6
2079	3	____	M	1	0	7
2081	10	____	F	1	1	7
2084	4	____	F	1	0	7
2088	2	____	M	1	0	7
2099	7	____	F	1	0	7
2120	13	____	M	1	0	6
2125	3	____	M	1	0	6
2128	2	____	F	1	0	6
2134	2	____	F	1	1	3
2140	2	____	M	1	0	1
2150	4	____	F	1	0	4
2152	6	____	F	1	0	6
2157	2	____	M	1	0	3
2167	5	____	F	1	0	1
2168	12	____	F	1	0	5
2173	3	____	M	1	1	1
2174	8	____	F	1	1	6
2176	20	____	F	1	0	4
2179	7	____	F	1	0	3
2182	8	____	M	1	0	7
2183	3	____	F	1	0	7
2186	3	____	M	1	0	7
2193	3	____	M	1	0	4
2195	2	_____	F	1	1	1
2198	2	____	M	1	0	6
2202	2		F	1	0	3
2203	3	____	F	1	0	5
2211	4	____	F	1	1	1
2223	2	_____	F	1	0	2
2224	4	____	F	1	0	6
2228	5	____	F	1	0	5
2229	4	____	F	1	0	4
2231	5	____	M	1	0	7
2232	16	____	F	1	0	7
2236	4	____	M	1	0	1
2244	7	____	F	1	0	4
2247	5	____	F	1	0	1
2248	7	____	F	1	0	6
2256	10	____	F	1	0	1
2259	5	____	M	1	0	7
2261	8	____	F	1	0	3
2263	5	____	F	1	0	1
2267	8	____	F	1	0	1
2269	2	____	M	1	0	6
2276	2	____	M	1	0	1
2278	5	____	F	1	1	5
2280	4	____	F	1	0	7
2284	5	____	M	1	0	1
2286	4	____	F	1	1	7
2287	2	_____	M	1	0	7
2296	2	____	F	1	1	1
2297	2	____	F	1	0	2
2299	2	____	F	1	1	3
2304	4	____	F	1	0	6
2310	2	____	F	1	0	7
2324	12	____	M	1	1	2
2335	3	____	F	1	0	3
2336	5	____	F	1	0	1
2339	3	____	F	1	0	1
2341	2		M	1	0	4
2349	3	____	F	1	0	4
2353	2	_____	F	1	0	6
2356	2	____	F	1	0	7
2359	2	____	M	1	0	5
2377	2	____	F	1	0	7
2379	3	____	M	1	0	3
2388	4	____	F	1	0	7
2397	10	____	M	1	0	1
2399	2		M	1	0	2
2400	6		F	1	0	6
2420	2	_____	F	1	0	6
2424	6	____	F	1	0	7
2432	2	____	F	1	0	3
2433	2	____	M	1	0	7
2451	2	____	F	1	0	7
2452	2	____	M	1	0	5
2453	2	____	F	1	1	1
2459	2	____	M	1	0	5
2460	3		F	1	0	4
2478	2	____	M	1	0	1
2482	5	____	M	1	0	2
2483	3	____	M	1	0	4
2485	6	____	M	1	0	1
2486	4	____	F	1	0	6
2490	2	____	M	1	0	2
2495	3	____	F	1	0	4
2500	2	____	F	1	0	3
2507	2	____	M	1	0	7
2509	2	_____	F	1	0	2
2511	4	____	M	1	0	6
2513	2		F	1	0	2
2516	15	____	M	1	0	7
2519	8	____	F	1	0	4
2522	4	____	M	1	0	1
2525	2	____	F	1	0	1
2527	9	____	F	1	0	4
2532	2	_____	F	1	0	7
2535	2	____	F	1	1	7
2539	12	____	M	1	0	6
2542	2	_____	F	1	0	2
2545	3	____	F	1	0	7
2551	5	_____	F	1	0	6
2563	14	____	F	1	0	4
2571	3		F	1	0	3
2579	4	____	F	1	0	7
2582	10	____	M	1	0	5
2588	3	____	F	1	0	5
2594	2	____	F	1	0	6
2597	3	____	F	1	0	2
2600	4	____	F	1	0	1
2602	6	____	F	1	0	3
2607	2	____	F	1	0	6
2619	6	____	F	1	0	3
2626	2	____	M	1	0	6
2632	4	____	F	1	1	7
2633	2	_____	M	1	0	3
2642	7	____	F	1	0	1
2649	2	____	M	1	0	5
2661	6	____	F	1	1	6
2666	2	____	F	1	1	7
2674	2	____	M	1	1	7
2677	4	____	F	1	0	7
2682	2	____	M	1	1	1
2692	2	____	F	1	0	7
2693	2	____	M	1	0	3
2696	3	____	M	1	0	1
2697	10	____	M	1	0	7
2745	4	____	M	1	0	5
2748	10	____	F	1	1	6
2750	4	____	M	1	1	7
2751	2	____	M	1	0	1
2754	5	____	F	1	0	1
2764	4	____	F	1	0	7
2767	2	____	F	1	0	7
2774	4	____	F	1	0	7
2782	2	____	F	1	0	4
2783	2	_____	M	1	0	3
2795	2	____	M	1	0	2
2797	4	____	F	1	0	4
2798	11	____	M	1	1	1
2803	6	____	M	1	0	1
2806	5	____	M	1	0	7
2809	2	____	M	1	0	7
2815	2	____	F	1	0	3
2821	6	____	M	1	0	4
2825	4		F	1	0	1
2832	2	____	M	1	1	7
2840	5	____	M	1	1	4
2843	3	____	M	1	0	1
2846	4	____	F	1	1	1
2853	22	____	M	1	1	7
2856	8	____	F	1	1	7
2863	2	_____	M	1	0	7
2869	2	____	M	1	0	5
2878	10	____	F	1	0	7
2881	2	____	F	1	0	7
2888	3	____	F	1	0	7
2893	2	____	M	1	0	7
2896	2	____	F	1	0	7
2898	2	____	F	1	0	2
2906	3	____	F	1	1	7
2914	2	_____	M	1	0	3
2921	4	____	M	1	1	3
2923	7	____	M	1	0	7
2931	6	____	M	1	0	1
2938	3	____	F	1	0	1
2948	2	_____	F	1	0	1
2952	2	_____	M	1	1	5
2958	4	____	M	1	0	3
2959	4	____	M	1	0	7
2966	1		M	1	1	6
2974	4	____	F	1	1	7
2983	4	____	F	1	0	7
2989	2	____	M	1	0	3
2990	2	_____	M	1	1	6
2991	8	____	F	1	0	7
2992	4	____	F	1	0	5
2994	5	____	F	1	0	1
2995	2	____	M	1	0	3
3007	4	____	F	1	0	6
3020	3	____	F	1	0	6
3021	17	____	F	1	1	3
3027	2	____	M	1	0	1
3035	4	____	F	1	0	6
3039	9	____	F	1	0	1
3043	8	____	M	1	0	3
3052	2	____	F	1	0	7
3053	2	____	M	1	0	1
3067	2	____	F	1	1	6
3079	2	____	M	1	1	3
3083	2	_____	F	1	1	7
3085	4	____	M	1	1	2
3093	4	____	M	1	0	7
3106	13	____	F	1	1	5
3109	4		F	1	1	6
3112	4	____	M	1	0	7
3118	4	____	F	1	0	1
3124	2	____	F	1	0	6
3133	2	____	F	1	1	5
3144	5	____	M	1	0	7
3154	4	____	M	1	0	1
3157	2		M	1	0	6
3163	3	____	F	1	0	2
3168	2	_____	M	1	0	2
3169	4	____	F	1	0	7
3174	2	_____	F	1	0	7
3175	8	____	M	1	1	7
3177	6	____	F	1	0	7
3179	2	____	M	1	0	3
3182	2	____	M	1	0	7
3189	2		M	1	0	6
3191	2	____	F	1	0	6
3193	2	____	F	1	1	5
3207	2	_____	M	1	0	6
3213	6	____	M	1	0	3
3217	4	____	F	1	1	4
3220	6	____	F	1	1	7
3221	5	____	M	1	0	2
3223	3	____	F	1	0	1
3245	2	_____	M	1	0	1
3251	2	_____	M	1	0	6
3261	3	____	M	1	0	3
3268	4	____	F	1	0	5
3270	3	____	F	1	0	7
3276	2	____	F	1	0	1
3283	6	____	F	1	0	1
3290	3	____	F	1	0	7
3291	4	____	F	1	0	6
3296	4	____	F	1	0	1
3299	2	____	M	1	0	7
3305	7	____	F	1	1	1
3313	2		M	1	1	6
3314	4	____	M	1	0	2
3324	5	____	F	1	0	7
3334	2	_____	F	1	0	1
3336	4	____	M	1	0	7
3341	8	____	F	1	0	1
3342	2	____	F	1	0	1
3350	6	____	M	1	0	7
3354	2	____	F	1	0	3
3357	6	____	M	1	0	6
3366	2	_____	F	1	0	7
3378	2	____	M	1	1	5
3380	2	_____	M	1	1	3
3385	2	____	M	1	0	1
3388	4	____	M	1	1	1
3389	6	____	F	1	0	2
3395	3	____	F	1	1	1
3397	4	____	F	1	0	6
3398	10	____	M	1	0	6
3417	2	____	M	1	0	1
3418	5	____	F	1	0	5
3422	2	____	F	1	0	4
3423	8	____	F	1	0	7
3424	2	____	M	1	1	7
3426	5	____	F	1	0	6
3427	4	____	M	1	0	6
3430	2	____	F	1	0	1
3437	2	____	F	1	0	1
3447	6	____	F	1	0	2
3455	5	____	M	1	0	1
3456	10	____	M	1	0	4
3461	2	_____	F	1	1	6
3470	2	____	M	1	0	6
3474	4		M	1	0	6
3484	2	_____	F	1	0	7
3487	5	____	F	1	0	1
3489	2	____	F	1	1	3
3491	7	____	F	1	0	3
3494	4	____	F	1	0	1
3499	3	____	F	1	0	6
3503	2	_____	M	1	1	5
3510	2	____	F	1	0	4
3511	2	____	M	1	1	4
3513	2	____	M	1	0	2
3528	2	____	F	1	0	4
3530	3	____	F	1	0	1
3536	2	_____	F	1	0	3
3538	2	____	M	1	0	1
3540	7	____	M	1	0	7
3547	13	____	M	1	0	6
3568	3	____	F	1	0	1
3577	2	____	F	1	0	4
3581	4	_____	M	1	1	7
3586	2	____	F	1	0	3
3595	7	____	F	1	0	6
3611	11	____	F	1	0	2
3630	7	____	M	1	0	4
3646	3	____	F	1	0	2
3649	3	____	F	1	1	6
3653	4	____	F	1	0	6
3656	2	____	M	1	0	1
3659	4	____	M	1	1	6
3660	2	____	F	1	0	6
3665	3	____	M	1	1	2
3667	3	____	F	1	1	1
3668	4	____	F	1	1	7
3674	1	____	F	1	0	7
3678	4	____	F	1	0	6
3679	2	____	F	1	0	1
3683	8	____	M	1	0	7
3687	4	____	M	1	0	6
3697	8	____	F	1	0	4
3698	2	____	F	1	0	7
3703	4	____	F	1	0	6
3704	5	____	M	1	0	4
3706	2	____	F	1	0	4
3707	5	____	F	1	0	7
3712	6	____	M	1	0	7
3713	7	____	M	1	0	7
3714	7	____	F	1	1	6
3729	10	____	M	1	0	1
3745	6	____	M	1	0	6
3756	2	____	F	1	0	7
3761	5	____	M	1	0	3
3770	3		F	1	0	6
3772	14	____	F	1	0	1
3779	2	____	F	1	0	3
3785	5	____	F	1	0	3
3792	10	____	F	1	0	3
3793	3		F	1	0	6
3795	2	____	F	1	1	7
3796	9	____	F	1	0	4
3808	10	____	F	1	0	1
3813	5	____	M	1	0	5
3826	2	_____	F	1	0	7
3828	2	____	M	1	0	7
3831	2	____	F	1	1	6
3834	20	____	F	1	0	7
3837	6	____	F	1	0	5
3839	2	____	M	1	0	7
3842	4	____	F	1	0	6
3849	2	____	M	1	0	4
3852	2	____	F	1	1	7
3861	2	____	F	1	0	6
3863	6	____	M	1	0	1
3868	4	____	F	1	0	2
3872	2	____	F	1	0	7
3882	2		F	1	0	7
3883	4	____	F	1	0	1
3885	2	____	M	1	1	4
3900	2	____	F	1	0	7
3916	6	____	F	1	0	5
3923	2	____	M	1	1	7
3926	2	____	F	1	0	6
3935	4	____	F	1	1	1
3941	2	____	M	1	0	5
3953	3	____	F	1	0	1
3965	4	____	M	1	1	5
3966	2		M	1	0	3
3976	2	____	F	1	1	2
3992	2	____	M	1	0	6
3995	10	____	M	1	1	1
3999	3	____	F	1	0	5
4004	4	____	M	1	0	7
4011	3	____	M	1	0	2
4014	6		F	1	1	1
4015	5	____	F	1	0	1
4019	4	____	F	1	0	1
4022	6	____	F	1	1	1
4025	2	____	F	1	0	2
4035	2	____	F	1	0	7
4043	5	____	M	1	0	5
4063	2	_____	M	1	0	7
4067	2	_____	F	1	0	2
4069	4	____	F	1	1	1
4070	2		F	1	1	1
4077	6	____	F	1	0	1
4080	4	____	F	1	1	6
4085	2		M	1	0	1
4093	2	____	M	1	0	1
4095	5	____	M	1	0	2
4098	4	____	F	1	0	6
4101	5	____	M	1	0	7
4108	12	____	M	1	0	6
4110	3	____	F	1	0	1
4114	4	____	F	1	0	2
4120	3	____	M	1	1	3
4124	5		F	1	1	7
4131	3	____	F	1	0	1
4133	4	____	F	1	1	7
4136	2	____	M	1	1	3
4143	7	_____	F	1	0	2
4150	3	____	F	1	1	7
4165	6	____	F	1	0	4
4177	2	_____	M	1	0	3
4182	6	____	F	1	0	6
4187	5	____	M	1	0	7
4190	14		M	1	0	6
4191	5	____	F	1	0	4
4199	10	____	F	1	0	5
4204	2		F	1	0	1
4210	3	____	M	1	1	7
4215	12	____	M	1	0	5
4224	6	____	M	1	1	2
4230	4	____	M	1	0	6
4233	3	____	F	1	0	1
4236	2	____	M	1	0	1
4237	3	____	F	1	0	7
4242	22	____	F	1	0	3
4250	2	____	M	1	0	7
4251	4	____	F	1	0	7
4257	3	____	F	1	0	2
4262	8	____	M	1	0	5
4264	5	____	M	1	0	7
4265	2		M	1	0	2
4267	5	____	M	1	0	7
4268	2	____	M	1	0	2
4273	2		F	1	1	1
4278	8	____	M	1	0	7
4287	2	____	M	1	1	6
4292	6	____	F	1	0	7
4298	4	____	M	1	0	1
4302	2	____	F	1	0	7
4310	2	____	F	1	0	1
4314	5	____	F	1	0	4
4319	12	____	M	1	1	3
4328	7	____	F	1	0	7
4331	3	____	F	1	0	3
4338	9	_____	F	1	1	1
4340	6	____	M	1	0	7
4341	7		M	1	0	2
4343	2	____	F	1	0	7
4349	2	____	M	1	0	1
4350	2	____	M	1	1	3
4354	6		F	1	0	4
4361	2		M	1	0	1
4379	2	_____	M	1	0	5
4386	2	____	M	1	0	5
4394	6	____	F	1	0	3
4395	2	____	F	1	0	3
4398	5	____	F	1	1	6
4404	5	____	F	1	0	1
4408	3	____	M	1	1	4
4413	4	____	F	1	1	2
4421	7	____	M	1	0	3
4425	5	____	F	1	0	2
4433	2	____	M	1	0	2
4436	8	____	M	1	0	5
4438	8	____	F	1	1	2
4442	18	____	M	1	0	1
4447	5	____	M	1	0	7
4448	5	____	F	1	1	4
4458	2	_____	M	1	0	1
4461	2	_____	M	1	0	4
4462	2	____	F	1	0	1
4463	10	____	F	1	0	6
4464	8	____	M	1	0	5
4466	8	____	F	1	0	3
4469	14	____	F	1	0	6
4477	2	____	F	1	0	4
4483	3	____	M	1	1	7
4488	3	____	F	1	0	1
4492	2		M	1	0	3
4494	3	____	F	1	0	7
4498	3	____	F	1	0	2
4501	8		M	1	1	7
4503	6	____	F	1	0	6
4505	4		F	1	0	2
4510	2	____	F	1	0	7
4511	2	____	M	1	0	1
4515	4	____	F	1	0	3
4523	2	____	F	1	0	4
4525	5	____	F	1	0	1
4527	2	____	F	1	0	3
4531	2	____	M	1	1	6
4538	2	____	M	1	0	3
4540	2	____	F	1	1	7
4542	9	____	M	1	0	1
4543	2		M	1	0	7
4545	2	____	M	1	0	5
4546	4	____	F	1	0	2
4552	4		M	1	0	7
4554	2	_____	F	1	0	7
4567	2	____	M	1	0	6
4576	11	____	F	1	0	1
4578	2	_____	M	1	1	6
4596	6	____	F	1	0	4
4600	7	____	F	1	0	6
4602	2	_____	M	1	1	6
4608	5	____	F	1	0	1
4609	4	____	F	1	1	1
4610	4	____	F	1	0	7
4612	6	____	M	1	0	3
4617	2	____	F	1	1	4
4621	3	____	M	1	0	7
4626	2	____	F	1	0	5
4628	2	____	F	1	1	7
4637	4	____	M	1	0	7
4644	2		F	1	0	6
4648	3	____	M	1	0	5
4652	4	____	F	1	0	1
4654	4	____	F	1	0	3
4657	5		M	1	0	3
4663	3	____	M	1	1	1
4689	2		F	1	0	4
4700	2	_____	F	1	0	1
4705	5	____	M	1	0	7
4706	2		M	1	0	1
4718	8	____	F	1	0	7
4721	4	____	F	1	0	7
4727	3	____	M	1	0	7
4747	2	____	F	1	0	7
4749	2	____	M	1	1	6
4752	4	____	M	1	1	1
4758	6	____	F	1	0	1
4785	2	____	F	1	0	5
4790	4	____	F	1	1	2
4802	3	____	F	1	0	7
4826	3	____	M	1	0	4
4848	2	_____	F	1	0	2
4849	5	____	F	1	0	1
4850	2	____	M	1	0	6
4851	2	____	F	1	0	7
4866	5	____	F	1	0	2
4888	4	____	M	1	1	1
4901	6		F	1	0	1
4902	5	____	F	1	0	7
4905	8	____	M	1	0	7
4906	4	____	F	1	0	3
4910	2	____	M	1	0	4
4918	2		F	1	0	3
4920	6	____	M	1	0	4
4923	5	____	F	1	0	1
4928	2	____	F	1	0	1
4930	4	____	M	1	0	7
4935	7	____	F	1	1	3
4944	7	____	F	1	0	4
4960	4	____	F	1	0	4
4965	2	____	M	1	0	2
4971	6	____	F	1	1	6
4973	2	____	M	1	0	1
5003	2	____	M	1	0	5
5006	6	____	M	1	0	5
5008	2	____	F	1	0	3
5019	2	____	M	1	1	7
5031	10	____	F	1	1	2
5037	3	____	M	1	0	6
5039	4	____	M	1	0	1
5041	2		M	1	0	7
5053	2	_____	M	1	1	5
5055	2	____	M	1	0	6
5069	2	____	F	1	0	5
5074	2	____	F	1	0	3
5094	2	____	F	1	1	4
5097	3	_____	F	1	0	2
5103	6		F	1	1	1
5105	2	____	F	1	0	6
5107	2	____	F	1	0	1
5108	3	____	F	1	1	2
5112	8	____	F	1	0	6
5115	2	____	M	1	0	1
5125	2	____	F	1	1	3
5127	2	____	F	1	0	6
5133	2	____	M	1	0	1
5134	11	____	M	1	0	1
5137	2	____	M	1	0	1
5146	2	_____	M	1	0	5
5158	4	____	M	1	0	6
5166	3	____	F	1	0	1
5170	3	_____	F	1	0	4
5176	2		F	1	1	7
5178	11	____	M	1	0	2
5181	2	_____	M	1	0	6
5189	5	____	F	1	0	1
5190	3	____	M	1	0	1
5191	6	____	F	1	0	1
5192	2	____	M	1	1	6
