id,project_is_approved
p241189,0.794
p194788,0.7354
p175510,0.729
p113659,0.7314
p038018,0.678
p109620,0.756
p198992,0.714
p001237,0.6504
p156569,0.5806
p183302,0.6836
p068100,0.617
p013384,0.7397
p189300,0.501
p185448,0.7686
p140668,0.657
p070387,0.7095
p033345,0.77
p049875,0.755
p112795,0.7437
p042765,0.7656
p183727,0.775
p258333,0.7905
p164654,0.745
p111121,0.785
p007364,0.7705
p235281,0.573
p184766,0.7666
p118290,0.7266
p134315,0.679
p008931,0.751
p193216,0.7617
p099504,0.7407
p185939,0.677
p212541,0.7725
p057050,0.6787
p235964,0.675
p019799,0.7646
p226343,0.7344
p247942,0.785
p034876,0.7905
p127034,0.6953
p122910,0.744
p112781,0.659
p167054,0.79
p091175,0.771
p192661,0.788
p254171,0.7397
p056473,0.7827
p186773,0.7373
p005448,0.6455
p127039,0.723
p019902,0.784
p109258,0.7476
p256814,0.452
p086119,0.792
p085718,0.745
p000341,0.6714
p153871,0.638
p015527,0.78
p180082,0.751
p114608,0.7773
p255258,0.7207
p074885,0.601
p158107,0.753
p194785,0.573
p053919,0.7236
p118270,0.694
p173735,0.782
p166438,0.755
p229032,0.7524
p126693,0.759
p093408,0.68
p078376,0.757
p256718,0.7256
p257276,0.747
p139883,0.7803
p112417,0.6475
p006285,0.7925
p158702,0.7666
p180517,0.757
p103302,0.7827
p085035,0.6626
p052579,0.7266
p034767,0.741
p164787,0.5103
p068805,0.741
p099314,0.711
p247448,0.6143
p010132,0.779
p149889,0.784
p244732,0.7734
p132573,0.75
p022004,0.772
p232062,0.689
p227193,0.7876
p001484,0.758
p212354,0.507
p218435,0.7686
p070650,0.731
p088920,0.672
p121609,0.7705
p050858,0.794
p132912,0.707
p150879,0.591
p243365,0.768
p114677,0.743
p228243,0.772
p042290,0.7783
p104397,0.745
p042280,0.754
p137702,0.7036
p084377,0.7744
p041654,0.7437
p119772,0.692
p098282,0.6143
p087508,0.7393
p107066,0.674
p241315,0.498
p034181,0.654
p079792,0.7554
p206611,0.776
p233647,0.7734
p072113,0.763
p085444,0.759
p028452,0.7656
p104178,0.7017
p097168,0.586
p211339,0.79
p109077,0.691
p074743,0.703
p207729,0.713
p204533,0.698
p207665,0.6396
p217044,0.756
p185822,0.747
p223903,0.784
p253408,0.7446
p021838,0.6865
p073176,0.636
p097703,0.7695
p177982,0.7827
p209800,0.7373
p197472,0.6724
p176198,0.757
p010602,0.792
p045059,0.711
p004465,0.7314
p201661,0.6064
p247377,0.6943
p011839,0.745
p181589,0.7363
p222352,0.7485
p033095,0.7563
p152161,0.7827
p146348,0.529
p081351,0.7314
p104086,0.7876
p129944,0.789
p139971,0.6626
p019840,0.671
p078847,0.7515
p187359,0.7573
p014981,0.789
p078888,0.696
p197493,0.759
p223807,0.7534
p175173,0.6943
p184290,0.786
p240381,0.7764
p192045,0.7905
p067483,0.78
p065985,0.7554
p097988,0.772
p014378,0.7393
p207504,0.7725
p124497,0.6924
p041514,0.757
p053087,0.775
p019766,0.6533
p042248,0.7725
p162955,0.726
p051634,0.7393
p042928,0.6445
p218938,0.758
p096669,0.667
p227913,0.7764
p128332,0.718
p156792,0.7236
p072391,0.7188
p185449,0.741
p166909,0.742
p044691,0.782
p101409,0.7314
p041121,0.786
p238590,0.7915
p222387,0.6836
p234051,0.7646
p144094,0.71
p091725,0.595
p146744,0.7705
p217132,0.763
p038548,0.7827
p163490,0.785
p064027,0.747
p252418,0.753
p097793,0.698
p127908,0.753
p033793,0.4922
p041765,0.7695
p087059,0.713
p139864,0.61
p236252,0.789
p100085,0.6494
p099517,0.7
p105054,0.7544
p129742,0.709
p208479,0.6924
p216392,0.7466
p142815,0.764
p241790,0.7905
p056395,0.712
p121254,0.7524
p083120,0.763
p136618,0.697
p060713,0.7803
p178996,0.744
p005636,0.7803
p093473,0.788
p189408,0.741
p037253,0.7217
p077833,0.7876
p217127,0.78
p035918,0.743
p195304,0.669
p184006,0.7837
p053912,0.786
p249361,0.7163
p228033,0.694
p120177,0.703
p205087,0.7505
p065516,0.7627
p251979,0.7656
p116508,0.6807
p219918,0.6123
p147330,0.7124
p248641,0.7524
p188743,0.7554
p232753,0.7095
p155252,0.6895
p034381,0.7417
p000855,0.733
p122818,0.758
p143606,0.755
p219622,0.759
p226159,0.5303
p220735,0.7573
p224764,0.752
p210363,0.6904
p148574,0.7217
p212574,0.505
p219336,0.763
p236757,0.7627
p113674,0.78
p208748,0.7607
p036325,0.775
p001219,0.7803
p019963,0.7886
p012286,0.7666
p128031,0.719
p181273,0.7427
p228160,0.728
p198162,0.7695
p010888,0.7725
p143333,0.71
p241664,0.779
p105195,0.684
p023056,0.557
p177916,0.7207
p009005,0.6445
p196258,0.7437
p214997,0.699
p137578,0.764
p067204,0.787
p148065,0.7197
p146297,0.7705
p184635,0.7065
p218157,0.725
p226936,0.7837
p026264,0.7397
p230219,0.7603
p042040,0.766
p031495,0.708
p241951,0.7007
p213119,0.7007
p058032,0.7515
p006519,0.7056
p164910,0.7837
p174119,0.666
p032059,0.6846
p163776,0.7295
p096322,0.7627
p065487,0.595
p097627,0.784
p055152,0.692
p249493,0.7427
p208294,0.732
p015148,0.5244
p123415,0.7764
p152876,0.7524
p116942,0.7236
p068889,0.5986
p085299,0.706
p079235,0.709
p103973,0.775
p148248,0.795
p211888,0.741
p009471,0.7173
p092215,0.7734
p147914,0.6694
p223502,0.7837
p102524,0.7563
p237245,0.757
p048211,0.7764
p192594,0.6675
p045414,0.7
p046340,0.783
p191783,0.7524
p094757,0.7803
p038959,0.652
p058620,0.7354
p192466,0.742
p197025,0.786
p159919,0.7764
p018322,0.769
p108689,0.786
p210835,0.682
p106448,0.7705
p249270,0.758
p016889,0.7407
p040535,0.669
p221436,0.678
p252788,0.7324
p178590,0.7407
p002105,0.7188
p111215,0.751
p153809,0.7803
p136364,0.747
p064316,0.7666
p045197,0.747
p124829,0.7803
p209156,0.797
p065013,0.6816
p045231,0.6255
p100288,0.6865
p031464,0.6836
p113289,0.7744
p117143,0.6514
p229301,0.4856
p078655,0.7456
p224758,0.694
p039688,0.6953
p001540,0.785
p143087,0.706
p020642,0.5923
p124035,0.762
p203040,0.7764
p061998,0.5605
p235499,0.692
p046971,0.6445
p206955,0.751
p178452,0.7734
p142364,0.667
p053540,0.771
p124937,0.6655
p119018,0.72
p000157,0.758
p220155,0.7627
p137944,0.789
p141499,0.746
p048850,0.7227
p200050,0.7734
p099920,0.794
p223762,0.6445
p021241,0.6953
p153453,0.708
p204229,0.7593
p002626,0.764
p020711,0.7686
p071519,0.7163
p204935,0.768
p023511,0.772
p071406,0.7305
p030547,0.745
p236657,0.4282
p184656,0.542
p067503,0.7764
p076599,0.7803
p089074,0.788
p055453,0.739
p139328,0.6104
p208968,0.724
p002749,0.665
p174178,0.729
p105305,0.765
p245431,0.7686
p128746,0.745
p051923,0.759
p175721,0.7515
p141223,0.78
p209236,0.7515
p167949,0.7715
p144580,0.6562
p148508,0.651
p040285,0.7593
p255901,0.7627
p076050,0.782
p203493,0.7563
p177206,0.6807
p246769,0.7695
p089435,0.7656
p224769,0.7246
p020437,0.5303
p197991,0.7153
p094460,0.6343
p249184,0.768
p113797,0.8022
p089926,0.737
p043569,0.7446
p106653,0.729
p122795,0.748
p168410,0.764
p094641,0.7305
p131396,0.6943
p145834,0.692
p163359,0.763
p248284,0.581
p198336,0.782
p039392,0.7744
p116103,0.7007
p007013,0.6924
p246365,0.6567
p031862,0.5947
p057169,0.5747
p113992,0.7676
p177589,0.7437
p053595,0.744
p195970,0.768
p162775,0.78
p020715,0.7646
p055399,0.6655
p170111,0.779
p057193,0.6743
p012815,0.724
p060915,0.7827
p074675,0.7734
p230410,0.6885
p196664,0.6343
p026826,0.7783
p106945,0.763
p056997,0.707
p048707,0.723
p049393,0.7236
p029744,0.7734
p254903,0.782
p137968,0.7256
p167990,0.7905
p024721,0.747
p117630,0.507
p051830,0.771
p136585,0.5786
p089751,0.7695
p131552,0.754
p072309,0.5127
p087218,0.673
p115313,0.5117
p104224,0.767
p061626,0.7764
p012000,0.7236
p091153,0.7617
p247255,0.764
p241234,0.5034
p216123,0.725
p206047,0.7734
p042087,0.78
p020207,0.789
p254036,0.742
p004083,0.681
p127557,0.714
p097962,0.785
p189947,0.717
p186106,0.6416
p253210,0.782
p248708,0.7827
p178246,0.7725
p228978,0.703
p035568,0.7603
p097664,0.714
p158443,0.7734
p067169,0.7266
p043477,0.7646
p013552,0.7217
p004535,0.7446
p200154,0.7344
p195162,0.708
p197342,0.789
p181588,0.702
p236836,0.7163
p157230,0.7744
p180852,0.7056
p148868,0.757
p145811,0.6807
p094617,0.7593
p099327,0.7354
p201292,0.782
p238540,0.7397
p077949,0.686
p247510,0.7905
p033076,0.645
p256480,0.733
p076769,0.602
p062521,0.7314
p076054,0.5947
p124278,0.767
p206560,0.79
p086388,0.758
p135523,0.7666
p056186,0.5557
p135913,0.782
p255466,0.628
p011944,0.4414
p169028,0.728
p007872,0.732
p250842,0.7505
p135510,0.7783
p108985,0.7134
p245638,0.752
p034008,0.7764
p156741,0.7627
p230621,0.711
p086259,0.767
p121630,0.696
p090584,0.7524
p146782,0.7275
p078643,0.722
p050414,0.7354
p219184,0.593
p229229,0.5454
p193613,0.491
p117414,0.7695
p112114,0.771
p209691,0.7773
p009360,0.747
p254068,0.7
p177866,0.7334
p173135,0.767
p257491,0.775
p064520,0.66
p064901,0.5522
p163146,0.728
p150965,0.7783
p175930,0.7173
p135491,0.6953
p111598,0.768
p063022,0.6787
p225619,0.7637
p214363,0.427
p259744,0.7393
p258350,0.715
p022962,0.6533
p013411,0.754
p009502,0.7744
p073028,0.768
p047973,0.7554
p104551,0.6963
p217620,0.742
p199884,0.675
p124793,0.676
p156660,0.7554
p098242,0.78
p259010,0.537
p086558,0.5923
p158022,0.7695
p202231,0.7954
p149156,0.748
p029467,0.673
p152032,0.625
p122840,0.779
p024645,0.5547
p124167,0.754
p241316,0.7334
p046379,0.678
p113280,0.7666
p183113,0.662
p038727,0.582
p100041,0.629
p030392,0.7554
p088141,0.7734
p212210,0.7666
p112526,0.747
p014522,0.786
p028621,0.679
p108505,0.792
p061556,0.7725
p218884,0.665
p058425,0.754
p192422,0.7646
p032720,0.763
p068000,0.7393
p087904,0.7773
p199278,0.7783
p205243,0.7905
p140121,0.645
p250008,0.723
p224866,0.6826
p247101,0.796
p258581,0.7515
p009757,0.659
p064907,0.7944
p245071,0.4453
p000726,0.7437
p215139,0.7656
p112968,0.782
p175695,0.6235
p148311,0.6885
p156499,0.7915
p099284,0.7524
p132455,0.776
p253487,0.681
p120462,0.7827
p102609,0.552
p160645,0.7686
p104179,0.7437
p000666,0.7734
p036209,0.6836
p135102,0.7783
p134193,0.7524
p175806,0.704
p076194,0.6587
p254862,0.625
p192299,0.776
p058811,0.6553
p140571,0.7217
p053238,0.7354
p206579,0.6475
p160818,0.7563
p027854,0.7686
p116776,0.7563
p186365,0.7524
p165331,0.737
p246564,0.664
p138124,0.7803
p110953,0.7607
p186214,0.7153
p044778,0.7476
p257962,0.7603
p084487,0.7837
p221290,0.742
p181360,0.7104
p114370,0.7485
p169726,0.621
p088261,0.7188
p089733,0.7007
p143200,0.7783
p089333,0.639
p067206,0.663
p136629,0.737
p123285,0.768
p045613,0.7383
p091258,0.6655
p109990,0.67
p034945,0.7866
p209215,0.6826
p180896,0.7246
p020986,0.66
p029081,0.79
p149371,0.784
p092316,0.7153
p248888,0.732
p091658,0.59
p032913,0.7695
p054741,0.7563
p088809,0.657
p000884,0.771
p250108,0.7393
p141013,0.7827
p223746,0.7695
p198971,0.758
p210354,0.751
p185480,0.716
p020002,0.7905
p004176,0.7773
p139424,0.6733
p133590,0.677
p028969,0.4272
p056535,0.751
p160239,0.643
p107783,0.721
p041410,0.776
p012368,0.7637
p244769,0.716
p212460,0.768
p219249,0.6465
p148412,0.6274
p164417,0.7603
p142374,0.757
p046842,0.741
p076648,0.7437
p161830,0.6216
p014015,0.793
p165474,0.551
p056483,0.7812
p000532,0.6855
p194930,0.7305
p096974,0.649
p017548,0.758
p221036,0.7656
p243890,0.7583
p203836,0.7173
p179365,0.786
p130248,0.69
p256311,0.779
p239758,0.7695
p051974,0.717
p110368,0.7827
p194208,0.7686
p145258,0.786
p199434,0.751
p002850,0.7114
p222550,0.7056
p053816,0.739
p125835,0.742
p164096,0.7837
p075105,0.757
p124229,0.7705
p093763,0.7646
p094690,0.677
p258365,0.707
p022588,0.7734
p242099,0.786
p218124,0.5845
p213245,0.761
p099429,0.651
p159954,0.684
p155453,0.784
p198478,0.78
p059565,0.7876
p220176,0.7295
p175848,0.6772
p041405,0.747
p197041,0.595
p253509,0.741
p124739,0.7764
p118282,0.746
p005286,0.655
p246944,0.508
p078030,0.653
p013257,0.7476
p197157,0.75
p257172,0.78
p083458,0.682
p092170,0.751
p195815,0.7964
p036972,0.7666
p001080,0.7314
p144625,0.732
p010260,0.79
p007734,0.7617
p227563,0.737
p225936,0.629
p119988,0.669
p196189,0.6436
p180227,0.5127
p176336,0.7705
p163516,0.7686
p157886,0.7153
p144904,0.743
p129205,0.7334
p043372,0.7656
p110068,0.579
p007341,0.75
p228272,0.7383
p050657,0.6143
p018289,0.7905
p253075,0.785
p035816,0.7686
p116074,0.7725
p245626,0.696
p226048,0.621
p245435,0.6987
p134914,0.7
p061557,0.7266
p037533,0.719
p090538,0.6733
p007729,0.663
p169881,0.789
p012192,0.5474
p239204,0.7812
p245090,0.784
p007251,0.709
p230912,0.774
p007283,0.6465
p238895,0.733
p011941,0.6733
p214398,0.7515
p214516,0.6045
p125508,0.7803
p153948,0.771
p006182,0.6553
p187280,0.596
p048932,0.6313
p066118,0.752
p096752,0.7266
p085233,0.6978
p205770,0.7354
p159463,0.7373
p074489,0.789
p046662,0.7603
p157897,0.694
p025188,0.784
p023274,0.7524
p164405,0.7607
p142465,0.743
p111439,0.642
p064680,0.7827
p142809,0.7803
p006247,0.776
p096942,0.7437
p006643,0.784
p011099,0.7593
p053046,0.7866
p092138,0.6343
p249750,0.6064
p109566,0.7734
p195570,0.7275
p152325,0.548
p184563,0.7666
p257519,0.7173
p239603,0.779
p100017,0.556
p032737,0.7354
p251043,0.657
p041341,0.556
p153867,0.7905
p163754,0.742
p114663,0.745
p119245,0.7573
p026989,0.7617
p234149,0.754
p086050,0.7515
p015894,0.7407
p149358,0.556
p215530,0.754
p019705,0.779
p164001,0.766
p149741,0.761
p241012,0.759
p236428,0.7617
p254247,0.6797
p088054,0.6787
p165236,0.768
p075408,0.66
p245303,0.593
p218679,0.712
p186795,0.6895
p047683,0.7686
p090548,0.743
p210440,0.782
p065716,0.52
p055864,0.7256
p189758,0.461
p125661,0.6416
p098104,0.7593
p195543,0.702
p192258,0.7524
p220168,0.7827
p085191,0.4766
p086029,0.671
p022535,0.6943
p007921,0.6904
p074011,0.7397
p013199,0.78
p073895,0.7715
p142700,0.6787
p140592,0.5674
p226024,0.6646
p236281,0.744
p005221,0.7144
p056472,0.797
p183663,0.701
p143574,0.7686
p184253,0.7236
p241669,0.7104
p197335,0.6416
p006030,0.7646
p191788,0.7656
p259028,0.59
p001094,0.575
p028645,0.742
p020094,0.7227
p060838,0.7686
p154850,0.6113
p116757,0.5635
p080932,0.6836
p074445,0.755
p142125,0.733
p006057,0.7725
p226378,0.5684
p096326,0.581
p215745,0.7305
p125924,0.775
p212112,0.7705
p083206,0.7656
p208197,0.6562
p024945,0.7607
p081296,0.7656
p170010,0.6865
p202766,0.7217
p030310,0.7363
p089828,0.748
p018497,0.7563
p103940,0.745
p208004,0.7866
p009711,0.7363
p126522,0.6514
p194545,0.785
p238444,0.4114
p224946,0.6865
p099914,0.7344
p146611,0.737
p060469,0.7485
p029111,0.703
p211742,0.786
p078771,0.693
p223177,0.641
p126111,0.649
p047518,0.7656
p099964,0.4102
p037604,0.7134
p043841,0.4226
p182378,0.7476
p021065,0.78
p254668,0.704
p017238,0.7744
p210994,0.794
p072800,0.753
p088063,0.6655
p076038,0.7334
p127239,0.6997
p054326,0.6807
p032113,0.686
p129276,0.7505
p242627,0.5625
p122350,0.76
p063394,0.724
p024343,0.759
p141770,0.7783
p230910,0.7803
p048847,0.706
p010600,0.6943
p144900,0.515
p252705,0.7783
p209242,0.7095
p004828,0.7207
p011338,0.745
p038108,0.7217
p199462,0.7764
p080226,0.786
p092698,0.751
p048970,0.7065
p121665,0.7607
p063410,0.738
p242564,0.7686
p053037,0.7764
p245860,0.793
p082390,0.7915
p124591,0.688
p108643,0.7407
p029115,0.6753
p248626,0.7944
p218192,0.438
p257834,0.659
p096524,0.676
p033706,0.675
p159212,0.786
p168949,0.784
p023244,0.737
p231388,0.782
p189968,0.6514
p169025,0.4258
p030519,0.673
p132908,0.6597
p235217,0.5986
p184397,0.6494
p220758,0.75
p104835,0.7397
p242011,0.724
p086779,0.74
p000948,0.7256
p122491,0.7593
p162636,0.672
p176742,0.7236
p043069,0.779
p085458,0.721
p150416,0.776
p192626,0.754
p162233,0.6655
p028637,0.634
p099251,0.7734
p105221,0.6357
p097753,0.767
p003718,0.7783
p066934,0.7646
p219110,0.737
p173241,0.743
p032544,0.7954
p236076,0.675
p228031,0.7183
p067678,0.7827
p022344,0.6396
p229494,0.715
p182044,0.7705
p013008,0.69
p220709,0.7524
p152081,0.7593
p133252,0.786
p203521,0.718
p236659,0.7764
p082991,0.7017
p070028,0.7837
p000321,0.764
p086855,0.705
p009299,0.747
p216664,0.763
p008114,0.6343
p221185,0.7446
p027086,0.793
p187786,0.7793
p031921,0.7695
p178872,0.7773
p116934,0.71
p063324,0.748
p128289,0.751
p097821,0.7705
p117249,0.598
p045221,0.7607
p048760,0.5493
p079104,0.6924
p236277,0.5674
p105817,0.6953
p017836,0.7305
p124732,0.7515
p013796,0.784
p126129,0.71
p075117,0.644
p225980,0.7236
p175353,0.7217
p171455,0.7446
p223735,0.6333
p055881,0.7314
p168361,0.656
p197807,0.78
p147365,0.6787
p031372,0.749
p101649,0.5957
p189276,0.7593
p011314,0.7725
p159022,0.736
p107840,0.668
p254504,0.759
p135575,0.7085
p064961,0.7607
p232655,0.7144
p072964,0.742
p066923,0.7734
p149377,0.7744
p174549,0.7837
p194079,0.6616
p233846,0.7544
p246237,0.474
p223140,0.5654
p158760,0.7646
p238310,0.747
p123993,0.7593
p225606,0.719
p007100,0.7627
p148336,0.7124
p128282,0.5947
p048176,0.5806
p212099,0.6914
p059455,0.7734
p138077,0.776
p130542,0.7
p080397,0.698
p104618,0.743
p057700,0.758
p085767,0.758
p202279,0.759
p026024,0.6904
p184037,0.706
p214918,0.737
p145354,0.693
p180456,0.7817
p146593,0.7026
p003454,0.6514
p016308,0.724
p005543,0.604
p020872,0.6006
p222867,0.564
p126690,0.7915
p210023,0.7837
p221203,0.753
p046986,0.7305
p097244,0.7485
p128966,0.629
p230300,0.7646
p240067,0.7676
p246312,0.732
p129340,0.7354
p110581,0.681
p207067,0.7773
p256091,0.6055
p031786,0.78
p014445,0.7295
p184463,0.788
p098163,0.671
p155321,0.7603
p176628,0.776
p146670,0.79
p154276,0.745
p058062,0.789
p100579,0.771
p241233,0.589
p108679,0.715
p120596,0.6973
p050551,0.7603
p143653,0.751
p149112,0.79
p249885,0.6836
p166325,0.78
p011589,0.7
p057166,0.5034
p174622,0.6963
p171396,0.712
p135330,0.5044
p101674,0.6367
p098340,0.68
p079166,0.788
p098618,0.7183
p250759,0.7783
p067325,0.7773
p153776,0.5273
p212324,0.763
p244511,0.767
p201517,0.743
p056275,0.6045
p221791,0.7466
p003938,0.752
p078660,0.6455
p162979,0.724
p043869,0.6274
p172864,0.711
p132792,0.7725
p234441,0.685
p237616,0.702
p184098,0.796
p000351,0.677
p203297,0.743
p148605,0.5615
p252258,0.7905
p164274,0.6084
p097445,0.7197
p083580,0.7295
p028841,0.7905
p152370,0.7773
p136734,0.7183
p160445,0.764
p043573,0.757
p227998,0.6963
p260058,0.782
p211486,0.7017
p243216,0.7563
p165766,0.78
p109423,0.75
p029645,0.672
p210650,0.7637
p226780,0.7764
p170244,0.7563
p064134,0.7686
p034274,0.3413
p138041,0.5415
p237681,0.7197
p181849,0.758
p020012,0.7593
p142112,0.767
p221312,0.7236
p192876,0.641
p209284,0.7354
p110914,0.7026
p091495,0.741
p130425,0.78
p224823,0.576
p092106,0.64
p220972,0.6367
p177242,0.7065
p195102,0.753
p062742,0.7373
p115954,0.6323
p086828,0.7695
p203067,0.736
p026457,0.6006
p073312,0.5977
p136300,0.704
p028064,0.7563
p102920,0.7764
p119845,0.675
p221877,0.7773
p231426,0.6143
p210275,0.697
p219260,0.7334
p132853,0.725
p239484,0.743
p217430,0.7188
p107689,0.622
p231184,0.775
p188158,0.7617
p190137,0.7617
p075272,0.676
p000052,0.7803
p201845,0.7837
p202213,0.758
p192496,0.6914
p127348,0.7046
p004899,0.7515
p072242,0.7373
p140313,0.763
p081001,0.7876
p232479,0.6553
p150012,0.7495
p049450,0.789
p238074,0.64
p081999,0.7305
p202164,0.632
p222316,0.7607
p090452,0.7563
p192468,0.7812
p233186,0.5884
p051322,0.7524
p055072,0.63
p232675,0.7627
p252051,0.744
p198256,0.6465
p255995,0.7705
p116205,0.782
p075845,0.7705
p090745,0.7607
p216303,0.746
p083288,0.785
p050662,0.755
p235035,0.7275
p133658,0.789
p060112,0.763
p095910,0.455
p080296,0.754
p162061,0.7866
p131114,0.7827
p052887,0.78
p227891,0.7275
p010749,0.7554
p089223,0.7
p183869,0.7407
p070805,0.7656
p050526,0.763
p144553,0.7803
p201423,0.585
p050241,0.737
p001395,0.6865
p179574,0.665
p186662,0.7764
p217399,0.549
p078113,0.7266
p175055,0.719
p209951,0.6963
p158865,0.745
p161166,0.746
p098952,0.6963
p034240,0.775
p116551,0.5864
p145596,0.4675
p036877,0.7124
p073253,0.696
p065794,0.748
p025438,0.729
p101575,0.6562
p107027,0.785
p198034,0.725
p087663,0.733
p107701,0.7876
p131510,0.5903
p162938,0.6924
p256352,0.704
p243693,0.7354
p242369,0.4297
p183991,0.7812
p232096,0.6772
p076808,0.633
p003175,0.7407
p101098,0.7915
p229008,0.7354
p252122,0.708
p042715,0.768
p242508,0.741
p104767,0.7705
p016427,0.657
p094862,0.7876
p023158,0.753
p012784,0.7803
p221792,0.7803
p169712,0.7563
p221328,0.763
p130790,0.7764
p079964,0.6455
p003328,0.7266
p010303,0.7197
p030008,0.7646
p096321,0.7236
p242373,0.65
p159066,0.718
p208639,0.7695
p059496,0.782
p128384,0.728
p165556,0.763
p023080,0.776
p187252,0.767
p055477,0.4949
p207228,0.496
p089336,0.732
p114741,0.718
p080186,0.767
p157664,0.747
p032052,0.619
p203781,0.764
p116734,0.655
p227114,0.7007
p017549,0.687
p149170,0.7627
p144140,0.6147
p233268,0.7866
p038124,0.7134
p206987,0.658
p172067,0.5684
p129180,0.7495
p188340,0.608
p192475,0.7734
p139800,0.5723
p077612,0.7134
p055653,0.675
p154969,0.7334
p068006,0.758
p115947,0.7646
p116081,0.686
p095660,0.6313
p115818,0.7314
p173701,0.667
p157089,0.7354
p165497,0.758
p023131,0.7803
p082629,0.768
p184704,0.5303
p201819,0.7583
p097253,0.7866
p240888,0.7734
p039661,0.776
p136680,0.7314
p231132,0.723
p059209,0.7446
p166260,0.7905
p108747,0.5454
p148447,0.776
p210249,0.7197
p165371,0.755
p097159,0.768
p040152,0.632
p190840,0.7603
p229553,0.779
p147318,0.745
p082688,0.5713
p239937,0.758
p103067,0.7617
p139144,0.7563
p176140,0.74
p246421,0.6445
p025031,0.7275
p205217,0.7686
p022550,0.6533
p126012,0.509
p000680,0.785
p184035,0.6553
p150613,0.659
p129627,0.655
p233278,0.7427
p228932,0.793
p126803,0.7334
p238076,0.7773
p031397,0.7915
p069774,0.6167
p242368,0.683
p123712,0.7656
p194179,0.534
p226424,0.7773
p015893,0.5625
p081147,0.574
p147823,0.767
p198839,0.7344
p132472,0.7983
p117602,0.7593
p243667,0.7876
p015117,0.724
p175125,0.675
p069222,0.729
p221682,0.7764
p171142,0.703
p215275,0.6396
p082996,0.784
p204838,0.7954
p162540,0.7456
p092549,0.7437
p021618,0.751
p082842,0.7656
p150920,0.684
p088361,0.6616
p149270,0.664
p217337,0.5015
p126476,0.794
p211233,0.7197
p217530,0.7837
p070711,0.7783
